City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Esperance,AU,-33.8667,121.9,56.25,58,98,17.11,overcast clouds
117,Srikakulam,IN,18.3,83.9,87.33,61,100,4.25,overcast clouds
118,Vila Velha,BR,-20.3297,-40.2925,78.75,79,0,11.5,clear sky
119,Avarua,CK,-21.2078,-159.775,77.05,61,75,9.22,broken clouds
120,Bengkulu,ID,-3.8004,102.2655,74.5,88,99,2.39,overcast clouds
121,New Norfolk,AU,-42.7826,147.0587,44.92,87,100,3.0,light rain
122,Vardo,NO,70.3705,31.1107,44.58,70,75,8.05,broken clouds
123,Georgetown,MY,5.4112,100.3354,80.53,83,40,0.0,scattered clouds
124,Nakatsu,JP,33.5981,131.1883,68.18,93,100,5.32,light rain
125,Mount Isa,AU,-20.7333,139.5,49.77,50,11,9.22,few clouds
126,Magnolia,US,33.2671,-93.2393,81.7,65,100,2.95,overcast clouds
127,Narsaq,GL,60.9167,-46.05,61.02,54,100,4.63,overcast clouds
128,Esso,RU,55.9333,158.7,48.65,87,100,5.01,overcast clouds
129,Hongjiang,CN,27.11,109.9956,70.12,99,97,2.44,overcast clouds
130,Touros,BR,-5.1989,-35.4608,78.1,86,8,9.66,clear sky
131,Pevek,RU,69.7008,170.3133,43.57,62,98,2.98,overcast clouds
132,Celestun,MX,20.8667,-90.4,86.4,66,3,11.18,clear sky
133,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,75,14.97,broken clouds
134,Kahului,US,20.8947,-156.47,84.22,67,20,20.71,few clouds
135,San Quintin,MX,30.4833,-115.95,73.51,60,1,9.24,clear sky
136,Imeni Poliny Osipenko,RU,52.4201,136.4853,44.53,86,25,6.64,scattered clouds
137,Lavrentiya,RU,65.5833,-171.0,43.93,46,27,9.55,scattered clouds
138,Xinzhi,CN,36.4989,111.7047,68.74,66,0,3.29,clear sky
139,Lompoc,US,34.6391,-120.4579,85.84,63,0,13.8,mist
